"schoolName","state","back","buttocks","chest","cleavage","midriff","torso","countGroup","localeGroup"
"Hicksville High School","NY",,,,,,,"1500+","suburb"
"Rusk High School","TX",,,,,1,,"500-999","rural"
"may-Port Cg High School","ND",,,,1,1,1,"< 200","rural"
"East High","UT",,,,,1,,"1500+","city"
"North Fort Myers High School","FL",,,,,1,,"1500+","suburb"
"Tomahawk High","WI",,,,,1,,"200-499","town"
"Prior Lake High School","MN",,,,,,,"1500+","suburb"
"Oologah-Talala High School","OK",1,,1,1,1,1,"500-999","rural"
"Judith Gap High School","MT",,,,,1,,"< 200","rural"
"La Feria High School","TX",,,,,1,,"500-999","suburb"
"Glasgow High School","MT",,,,1,1,,"200-499","rural"
"Oakdale High","MD",,1,,,1,,"1000-1500","suburb"
"Barnes County North High School","ND",,,,,,,"< 200","rural"
"Fonda-Fultonville Senior High School","NY",,,,,1,,"200-499","rural"
"Mohonasen Senior High School","NY",,,,,,,"500-999","suburb"
"Dodgeville High","WI",,1,,,1,,"200-499","town"
"Teague High School","TX",,,,1,1,,"200-499","town"
"Arcadia High School","NY",,,,1,1,,"1000-1500","suburb"
"Ravena-Coeymans-Selkirk Senior High School","NY",,,,,,,"500-999","town"
"Northglenn High School","CO",,1,,1,1,,"1500+","suburb"
"Park Vista Community High School","FL",,,,,1,,"1500+","suburb"
"Lathrop High","CA",,,,,1,,"1000-1500","rural"
"Del Mar High","CA",,,,,1,,"1000-1500","city"
"Anamosa High School","IA",,,,,1,,"200-499","town"
"Rio Rancho High","NM",,,,1,1,,"1500+","suburb"
"Taconic High","MA",,,,,,,"500-999","city"
"Latta High School","OK",,,,,1,,"200-499","rural"
"Brookfield High","MO",,,,,1,,"200-499","rural"
"Carmel High School","NY",,,,,,,"1000-1500","suburb"
"Bremond High School","TX",,,,,1,,"< 200","rural"
"Julian High","CA",,,,1,1,,"< 200","rural"
"Red River High School","ND",,,,,,,"1000-1500","city"
"Robertsdale High Sch","AL",,,,1,1,,"1000-1500","town"
"Lathrop High School","AK",,,,1,1,,"1000-1500","city"
"Athol High","MA",,,,,,,"200-499","town"
"Savage High School","MT",1,1,1,1,1,,"< 200","rural"
"Beggs High School","OK",,,,,1,1,"200-499","rural"
"Belton High School","TX",,,,,1,,"1500+","suburb"
"Milton High","WI",,,,,1,,"1000-1500","suburb"
"Southern Columbia High School","PA",,,,1,1,,"200-499","rural"
"Como Park Senior High","MN",,,,,,,"1000-1500","city"
"Elsberry High","MO",,,,,1,,"200-499","rural"
"Port Jervis Senior High School","NY",,,,,1,,"500-999","rural"
"Longmont High School","CO",1,1,1,,1,,"1000-1500","suburb"
"Elko High School","NV",,,,,1,,"1000-1500","town"
"Ironton High School","OH",,,,1,1,,"200-499","suburb"
"South Jefferson High School","NY",,,,,1,,"500-999","rural"
"Simsbury High School","CT",,,1,,1,,"1000-1500","suburb"
"Windthorst High School","TX",,,,,1,,"< 200","rural"
"Northbridge High","MA",,,,,1,,"500-999","suburb"
"Depew High School","NY",,,,,,,"500-999","suburb"
"Amsterdam High School","NY",,,,,,,"1000-1500","rural"
"Barbers Hill High School","TX",1,,,,1,,"1500+","rural"
"Louisiana High","MO",,,,,1,,"200-499","town"
"Butler High School","OH",1,,,,1,,"500-999","suburb"
"Gateway High School","CO",1,1,1,,1,,"1500+","city"
"Pine Bush Senior High School","NY",,,,,,,"1500+","rural"
"Coe-Brown Northwood Academy","NH",,1,1,,1,,"500-999","rural"
"Dawson High School","MT",,,,1,1,1,"200-499","town"
"Eleanor Roosevelt High School","NY",,,,,,,"500-999","city"
"Hinton High School","OK",,,,,,1,"< 200","rural"
"Girard High School","PA",,,,,1,,"500-999","suburb"
"Huntley Project High Schl","MT",,,,,1,,"200-499","rural"
"Fruitvale High School","TX",,,,,1,,"< 200","rural"
"Darlington High","WI",,,,1,1,,"200-499","rural"
"Mounds High School","OK",1,,,,1,,"< 200","rural"
"Howe High School","OK",1,,1,,1,,"< 200","town"
"Oak Grove High","MO",,,,,1,,"500-999","suburb"
"Mclouth High","KS",,,,,1,,"< 200","rural"
"Tatum High School","TX",,,,,1,,"500-999","rural"
"Cedar City High","UT",,,,1,1,,"1000-1500","town"
"Hanover High","KS",,,,,1,,"< 200","rural"
"Rice Lake High","WI",,,,,,1,"500-999","town"
"Daphne High Sch","AL",,,,1,1,,"1000-1500","city"
"New London High","WI",,,,,,,"500-999","rural"
"Lawson High","MO",,,,,,,"200-499","rural"
"Elgin High School","OK",,,1,1,1,,"500-999","rural"
"Akron Westfield Senior High School","IA",,1,,1,1,,"< 200","rural"
"Martinsville High","VA",,,,1,,1,"500-999","town"
"Chillicothe High","MO",,,,,1,,"500-999","town"
"Floyd High","NM",,,,,1,,"< 200","rural"
"Berryville High School","AR",,,,,,,"500-999","town"
"East Laurens High School","GA",,,,,1,,"500-999","rural"
"Turners Fall High","MA",,,,,,,"200-499","town"
"Henrietta High School","TX",1,,,,1,,"200-499","rural"
"Granbury High School","TX",,,,1,1,,"1000-1500","town"
"Rainier Senior High School","WA",,,,,1,,"200-499","rural"
"North Andrew High","MO",,,,1,1,,"< 200","rural"
"Carrollton High School","GA",,,,,1,,"1000-1500","town"
"Horn High School","TX",,,,,,,"1500+","rural"
"Banks County High School","GA",1,,1,1,1,,"500-999","rural"
"Weatherford High School","TX",,,1,1,1,,"1500+","rural"
"Amity Regional High School","CT",1,,1,,1,,"1000-1500","suburb"
"Cornwall Central High School","NY",,,,,,1,"1000-1500","rural"
"Central High School","IA",,,,1,,,"500-999","rural"
"Central High School","IA",,,,,1,,"500-999","rural"
"Washington High","MO",,,,,,,"1000-1500","town"
"Rancho Buena Vista High","CA",1,1,,,1,,"1500+","suburb"
"Freeport Area Shs","PA",1,,,,1,,"500-999","rural"
"Leveretts Chapel High School","TX",,,,,1,,"< 200","rural"
"West Stokes High","NC",,,,,,,"500-999","rural"
"Nantucket High","MA",1,1,1,,1,,"500-999","town"
"North Carroll High","MD",1,1,,1,1,,"500-999","suburb"
"Midland High School","TX",,,,,1,1,"1500+","city"
"Spencer High School","IA",,,,1,1,,"500-999","town"
"Pella High School","IA",,,1,1,1,,"500-999","town"
"Mcgregor High School","TX",,,,,1,,"200-499","town"
"Westhill High School","CT",,,1,,1,,"1500+","city"
"Quincy High","MA",,,,,1,,"1000-1500","suburb"
"Currituck County High","NC",,,,1,1,,"1000-1500","rural"
"Nevada High School","IA",,,,1,1,,"200-499","town"
"Adm Senior High School","IA",1,,,,1,,"200-499","town"
"Wausaukee High","WI",,,,,,,"< 200","rural"
"Pleasant Grove High School","TX",,,,,1,,"500-999","city"
"Bastrop High School","TX",1,,,,1,,"1000-1500","town"
"Tgu-Granville High School","ND",,,,1,,,"< 200","rural"
"Marinette High","WI",,,,,,,"500-999","town"
"Portsmouth High School","NH",,,,1,,,"1000-1500","suburb"
"Borger High School","TX",,,,,1,,"500-999","town"
"Cabool High","MO",,,,,1,,"200-499","rural"
"Symmes Valley High School","OH",,,,,,,"200-499","rural"
"Weldon Valley High School","CO",,,,,1,,"< 200","rural"
"Shadow Hills High","CA",1,1,,,1,,"1500+","rural"
"Laingsburg High School","MI",,,,1,,,"200-499","rural"
"Columbia High School","NY",,,,,,,"1000-1500","rural"
"Twin Valley High School","VT",,,,,,,"< 200","rural"
"Shawano High","WI",,,,1,1,,"500-999","town"
"Hallsville High School","TX",,,,,1,,"1000-1500","rural"
"Laurel High School","MT",1,,1,,1,,"500-999","town"
"G.f.w. High School","MN",,,,1,1,,"200-499","rural"
"Wayzata High","MN",,,,,,,"1500+","city"
"Hart High School","MI",,,,1,1,,"200-499","town"
"Dover High School","OK",,,,,1,,"< 200","rural"
"Scotia-Glenville Senior High School","NY",,,,,1,,"500-999","suburb"
"Powder River Co Dist High","MT",,,,,,1,"< 200","rural"
"Plymouth-Whitemarsh Shs","PA",1,,1,,1,,"1000-1500","suburb"
"Central High School","GA",,,,1,,,"1000-1500","town"
"Central High School","GA",,,,,1,,"1000-1500","town"
"Jericho Senior High School","NY",1,,1,,1,,"1000-1500","suburb"
"Salida High School","CO",1,1,1,,1,,"200-499","town"
"Thomas Jefferson High School","CO",1,1,1,,1,,"1000-1500","city"
"Sheridan High School","WY",,,,1,1,,"500-999","town"
"Nelson County High","VA",1,,1,,1,,"500-999","rural"
"Creekview High School","TX",,,,,1,,"1500+","suburb"
"Hudson High","WI",1,1,1,,1,,"1500+","town"
"Morenci High School","AZ",1,,1,1,1,,"200-499","town"
"West Seneca East Senior High School","NY",,,,,,,"500-999","suburb"
"Weston Ranch High","CA",,,1,,1,,"1000-1500","city"
"Nex Gen Academy","NM",,,,,,,"200-499","city"
"Lander Valley High School","WY",,,,1,1,,"200-499","town"
"Skiatook High School","OK",,,,,1,,"500-999","town"
"Horlick High","WI",,,,,1,,"1500+","city"
"West Delaware High School","IA",,,,,1,,"200-499","town"
"East Coweta High School","GA",,,,,,,"1500+","suburb"
"Niskayuna High School","NY",,,,,,,"1000-1500","suburb"
"Emporia High","KS",,,,,,,"1000-1500","town"
"Newport Middle High School (High)","NH",,,,,1,,"200-499","rural"
"South Central Calhoun High School","IA",,,,,,,"200-499","rural"
"Jackson Hole High School","WY",,,,,1,,"500-999","rural"
"Iraan High School","TX",,,,,1,,"< 200","rural"
"Horizon High School","AZ",,1,1,,1,,"1500+","city"
"Lincoln Senior High School","MI",,,,,,,"1000-1500","rural"
"Turpin High School","OK",,,,,1,,"< 200","rural"
"Bellport Senior High School","NY",,,,,1,,"1000-1500","suburb"
"Platte Canyon High School","CO",1,1,1,1,1,,"200-499","rural"
"Rosemont High","CA",,,,,1,,"1000-1500","suburb"
"Bowlegs High School","OK",,1,,,1,,"< 200","rural"
"Spencerport High School","NY",,,,,1,,"1000-1500","suburb"
"Piedmont High School","OK",,,1,1,1,,"500-999","rural"
"Riverdale High School","FL",,,,,1,,"1500+","rural"
"Pittsfield High School","NH",,,,1,,1,"< 200","rural"
"West Islip Senior High School","NY",,,,,,,"1500+","suburb"
"Kenyon-Wanamingo Senior High","MN",,,,,1,,"200-499","rural"
"Crater Academy of Health and Public Services","OR",,,,,1,,"200-499","suburb"
"Grand Ledge High School","MI",,,,1,1,,"1500+","suburb"
"David Prouty High","MA",,,,,1,,"200-499","suburb"
"Tarkington High School","TX",1,,1,1,1,,"500-999","rural"
"South Glens Falls Senior High School","NY",,,,,1,,"500-999","suburb"
"Affton High","MO",,,,,,,"500-999","suburb"
"Azle High School","TX",,,,1,,1,"1500+","suburb"
"Luray High","VA",,,,,1,,"500-999","town"
"Lebanon Sr. High","MO",,,,,1,,"1000-1500","town"
"Higley High School","AZ",,1,1,,1,,"1500+","suburb"
"Appoquinimink High School","DE",1,,,1,1,,"1500+","rural"
"Quanah High School","TX",,,,,1,,"< 200","rural"
"Rham High School","CT",,,,,1,,"1000-1500","rural"
"Lynnville-Sully High School","IA",,,,1,1,,"< 200","rural"
"Grandview Sr. High","MO",1,1,1,1,1,,"1000-1500","suburb"
"Fontana High","CA",,,1,,1,,"1500+","suburb"
"Whitman Hanson Regional","MA",1,,,,1,,"1000-1500","suburb"
"Harlowton High School","MT",,,,,,,"< 200","rural"
"Oak Creek High","WI",,,1,,,,"1500+","suburb"
"Marathon High","WI",,,,,1,,"200-499","rural"
"Akron Early College High School","OH",,,,,,,"200-499","city"
"Bonney Lake High School","WA",,,1,,1,,"1000-1500","suburb"
"Rogers High School","TX",,,1,,1,1,"200-499","rural"
"Athens High","WI",,,,,1,,"< 200","rural"
"Excelsior Springs High","MO",,,,,1,,"500-999","town"
"Byron Nelson High School","TX",,,,,1,,"1500+","rural"
"Celina High School","TX",,,,1,1,,"500-999","rural"
"Frontenac Sr. High School","KS",,,,,,,"200-499","town"
"Queen City High School","TX",,,,,1,,"200-499","town"
"Macon Sr. High","MO",,,,,1,,"200-499","town"
"Union High School","IA",,,,,,,"200-499","rural"
"Sedro Woolley Senior High School","WA",,,,,,1,"1000-1500","suburb"
"Atascadero High","CA",,,,1,1,,"1000-1500","suburb"
"Agwsr High School","IA",,,,,1,,"< 200","rural"
"Keystone High School","OH",,,,,1,,"200-499","rural"
"Cuba High","MO",1,,,,1,,"200-499","town"
"Ontario High School","OR",1,1,1,1,1,,"500-999","town"
"Goshen Central High School","NY",,,,,,,"500-999","rural"
"Batesville High School","AR",,1,1,,,,"500-999","rural"
"Alamo Heights High School","TX",,,,,,,"1500+","suburb"
"Rancho Verde High","CA",,1,,,1,,"1500+","suburb"
"South Senior High","MN",,,,,,,"1500+","city"
"Sinton High School","TX",,,,,1,,"500-999","town"
"Lompoc High","CA",,,,,1,,"1000-1500","suburb"
"Eastern High School","MI",1,,,,1,,"500-999","rural"
"Shelby Co High Sch","AL",,,,,1,,"500-999","town"
"Calhoun High School","GA",,,,,1,,"1000-1500","town"
"Alonso High School","FL",,,,,,,"1500+","suburb"
"Mira Mesa High","CA",,,,,1,,"1500+","city"
"Independence High School","MS",1,,1,1,1,,"200-499","rural"
"Somerset High","WI",,,,1,1,,"200-499","town"
"Blue Ridge High School","TX",,,,1,1,1,"< 200","rural"
"Kalkaska High School","MI",,,,,1,,"200-499","town"
"La Jolla High","CA",,,,,1,,"1500+","city"
"West Grand High School","CO",,,,,,,"< 200","rural"
"Park Hill High","MO",1,,,,1,,"1500+","city"
"North High School","OK",,,,1,1,,"1500+","suburb"
"Thunder Ridge High School","KS",,,,,,,"< 200","rural"
"Calera High Sch","AL",1,,1,,,,"500-999","rural"
"Pekin Community High School","IA",,1,,1,1,,"200-499","rural"
"Brindlee Mt High Sch","AL",,,,,1,,"200-499","rural"
"Weston High","MA",,1,,,1,1,"500-999","suburb"
"Soroco High School","CO",,,,,1,,"< 200","rural"
"Waconia Senior High","MN",,,,1,1,,"1000-1500","town"
"San Jon High","NM",,,,,1,,"< 200","rural"
"Joseph Case High","MA",,1,,,1,,"500-999","suburb"
"Wharton High School","TX",,,,1,,,"500-999","town"
"Leavenworth Sr High","KS",,1,1,,1,,"1000-1500","town"
"Illinois Valley High School","OR",,,1,1,1,,"200-499","rural"
"Griffin High School","GA",,,,1,1,,"1000-1500","suburb"
"Colchester High School","VT",,,,,,,"500-999","rural"
"West Hempstead High School","NY",,,,,,1,"500-999","suburb"
"Monte Vista High","CA",,,,,,,"1500+","suburb"
"Century High","MD",1,1,,1,1,,"1000-1500","rural"
"Olton High School","TX",,,,,1,,"< 200","rural"
"Little Miami High School","OH",,1,,1,1,,"1000-1500","suburb"
"Jefferson High","WI",1,,,1,1,,"500-999","town"
"Cedar Grove-Belgium High","WI",,,,1,1,,"200-499","rural"
"Hominy High School","OK",,,,,1,,"< 200","town"
"Glen Rose High School","TX",,,,,1,1,"500-999","rural"
"Monroe-Woodbury High School","NY",,,,,1,,"1500+","suburb"
"Lovell High School","WY",,,,,,,"200-499","rural"
"Sauk Prairie High","WI",,,,,,,"500-999","town"
"Baraboo High","WI",,1,1,,1,,"500-999","town"
"Dexter High","MO",,,,,,,"500-999","town"
"Perry Central High School","MS",,,,,,,"200-499","rural"
"Ketchum High School","OK",,,,,,,"200-499","rural"
"Leominster High School","MA",,,,,1,,"1500+","suburb"
"Madras High School","OR",,1,1,1,1,,"500-999","town"
"Christiansburg High","VA",1,,1,,1,,"1000-1500","city"
"Lebanon High School","OR",,,,,,,"1000-1500","town"
"Miller Place High School","NY",,,,,1,,"500-999","suburb"
"Lehigh Senior High School","FL",,,,,1,,"1500+","suburb"
"Sutton High School","MA",,,1,,1,,"200-499","rural"
"Spaulding Uhsd #41","VT",1,1,,1,1,,"500-999","town"
"Tipton High School","IA",,,,,,,"200-499","town"
"Big Piney High School","WY",,,,,1,,"< 200","rural"
"Irondequoit High School","NY",,,,,,,"1000-1500","suburb"
"Clearwater High","MO",1,,,,1,,"200-499","rural"
"Hilldale High School","OK",,,,,1,,"500-999","town"
"Alvarado High School","TX",,,,,1,,"1000-1500","town"
"Sayre High School","OK",,,1,,1,,"< 200","town"
"Chase High","KS",,,,,,,"< 200","rural"
"Plainwell High School","MI",,,,1,1,,"500-999","town"
"Cimarron High School","OK",1,,,,1,,"< 200","rural"
"Centralia High","MO",,,,,,1,"200-499","town"
"Guymon High School","OK",1,,1,,1,,"500-999","town"
"Hamilton High School","AZ",,1,,,1,,"1500+","suburb"
"Battle Creek-Ida Grove Senior High School","IA",,,,,,1,"200-499","rural"
"Palacios High School","TX",1,,,,1,,"200-499","rural"
"Lyons Senior High School","NY",,,,,,,"200-499","town"
"Pentucket Regional Sr High","MA",,1,,1,1,,"500-999","suburb"
"Grantsburg High","WI",,,,,1,,"200-499","rural"
"Unionville-Sebewaing High School","MI",1,,,,1,,"200-499","rural"
"Danvers High","MA",,,,,1,,"1000-1500","suburb"
"Ignacio High School","CO",,,,,1,,"200-499","rural"
"Binghamton High School","NY",,,,,,,"1500+","city"
"George Mason High","VA",,,,,,,"500-999","suburb"
"Omro High","WI",,1,,1,1,,"200-499","rural"
"Nashoba Regional","MA",,,,,,,"1000-1500","rural"
"Pierce County High School","GA",1,,,1,1,,"1000-1500","rural"
"South Albany High School","OR",,,,,1,,"1000-1500","city"
"Connally High School","TX",,,,1,1,,"500-999","suburb"
"Middle Creek High","NC",,,,1,1,,"1500+","suburb"
"Mountain View High School","WY",,,,,,1,"200-499","rural"
"Fontana A. B. Miller High","CA",,,1,,1,,"1500+","suburb"
"Texas High School","TX",,,,,1,,"1500+","city"
"Moore High School","OK",,,1,,1,1,"1500+","suburb"
"Chanhassen High School","MN",,,,,,,"1500+","suburb"
"Clear Brook High School","TX",,,,,1,,"1500+","suburb"
"Sleepy Hollow High School","NY",,,,,,,"500-999","suburb"
"Douglas High School","MA",,,,,1,,"200-499","suburb"
"Walpole High","MA",,,,,,,"1000-1500","suburb"
"Memorial High School","OK",,,,1,1,,"1500+","suburb"
"East Hampton High School","NY",,,,,,,"500-999","rural"
"Warrenton High School","OR",,,,,1,1,"200-499","rural"
"Irvine High","CA",,,,,1,1,"1500+","city"
"Hilliard Bradley High School","OH",,,,,1,,"1500+","rural"
"Aps Online School","CO",,1,1,,1,,"< 200","city"
"Medford High","MA",,,,,,,"1000-1500","suburb"
"Senior High School","OK",,,,,1,,"< 200","rural"
"Onteora High School","NY",,,,,,,"200-499","rural"
"Monroe City r-i High","MO",,,,,1,,"200-499","rural"
"Temple High School","TX",,,,,1,,"1500+","city"
"Ripley High School","MS",1,,1,,1,,"500-999","town"
"Haverling Senior High School","NY",,,,,1,,"200-499","town"
"White River High School","WA",1,,1,,1,,"1000-1500","suburb"
"Newton Senior High School","IA",,,1,,1,,"500-999","town"
"Astoria Senior High School","OR",,,,,,,"500-999","town"
"Carter County High School","MT",,,,,1,,"< 200","rural"
"Hobbs High","NM",,,,,1,,"1500+","town"
"Hiawatha Sr High","KS",,,,,,,"200-499","town"
"Pittsfield High","MA",,,,,1,,"500-999","city"
"Huntington High School","NY",,,,,,,"1000-1500","suburb"
"Social Circle High School","GA",,,,1,1,,"500-999","town"
"Lomira High","WI",,,,,1,,"200-499","rural"
"East Haven High School","CT",,,,,,,"500-999","suburb"
"Saratoga Springs High School","NY",,,,,,,"1500+","suburb"
"Skyview High School","WA",,,,,1,,"1500+","suburb"
"Kelso High School","WA",,1,,1,1,,"1500+","suburb"
"Chireno High School","TX",,,,,1,,"< 200","rural"
"Edison Senior High","MN",,,,,,,"500-999","city"
"Russell High","KS",,,,,,,"200-499","town"
"Nettleton High School","MS",1,,,,1,,"200-499","rural"
"Sallisaw High School","OK",,,,,1,,"500-999","town"
"Laker High School","MI",,,,1,1,,"200-499","rural"
"Grand Rapids Senior High","MN",,,,,1,,"1000-1500","rural"
"Plymouth High","WI",,,,,,,"500-999","town"
"Broadview High School","MT",,,,,,,"< 200","rural"
"Asher High School","OK",,,,,1,,"< 200","rural"
"Lodi High","WI",,,,,1,,"500-999","town"
"Black Hawk High","WI",,,,,,,"< 200","rural"
"Morrison High School","OK",,,,,1,,"< 200","rural"
"Okay High School","OK",,,,,1,,"< 200","rural"
"California High","MO",,,,,1,,"200-499","town"
"Aliso Niguel High","CA",,,,,,,"1500+","suburb"
"Andrews High School","TX",,,,,,,"1000-1500","town"
"Buffalo High School","WY",,1,,1,1,,"200-499","rural"
"Rutland Senior High School","VT",,,,,,,"500-999","town"
"Taft Union High","CA",,,,,1,,"500-999","town"
"Graham High School","OK",,,,1,1,,"< 200","rural"
"Franklin High","MA",,,,,,,"1500+","suburb"
"Sweetwater High School","TX",,1,,1,1,,"500-999","town"
"George Washington High School","IA",,,,,,,"1000-1500","city"
"Glen Ullin High School","ND",,,,1,1,,"< 200","rural"
"Tonasket High School","WA",,,,,,,"200-499","rural"
"Quartz Hill High","CA",,,,,1,,"1500+","suburb"
"Wray High School","CO",1,1,1,,1,,"< 200","rural"
"Ponca City High School","OK",1,,,1,1,,"1000-1500","town"
"Hilton High School","NY",,,,,,,"1000-1500","suburb"
"North Douglas High School","OR",,,,,1,,"< 200","rural"
"East Sac County High School","IA",,,,,,,"200-499","rural"
"Colby Senior High","KS",1,,,,1,,"200-499","town"
"Scotts Valley High","CA",,,,,1,1,"500-999","suburb"
"Auburn Senior High","MA",,,,,,,"500-999","suburb"
"Auburn High","VA",,,,,,,"200-499","rural"
"Hickory Ridge High","NC",1,,,1,1,,"1500+","suburb"
"Dewitt High School","AR",1,1,1,1,1,,"200-499","rural"
"Marion l Steele High School","OH",,,,,1,,"1000-1500","suburb"
"Cameron High","MO",,1,1,,1,,"500-999","town"
"Bay Shore Senior High School","NY",,,,,1,,"1500+","suburb"
"Saint Helena High","CA",,,,,,,"200-499","town"
"Reeds Spring High","MO",,,,,1,,"500-999","rural"
"Connetquot High School","NY",,,,,,,"1500+","suburb"
"Rondout Valley High School","NY",,,,,,,"500-999","rural"
"Porum High School","OK",1,,,,1,,"< 200","rural"
"Bonduel High","WI",1,,,,1,,"200-499","rural"
"Farmington High","NM",1,,,,1,,"1000-1500","city"
"Mount Pleasant High","NC",,,1,1,1,1,"500-999","rural"
"Fountain Hills High School","AZ",,,1,,,,"500-999","suburb"
"Pottstown Shs","PA",,,,1,1,,"500-999","suburb"
"Menchville High","VA",1,,,1,1,,"1500+","city"
"Wheeler High School","CT",,,,,1,,"< 200","rural"
"Marshalltown High School","IA",1,1,1,1,,,"1000-1500","town"
"West Plains Sr. High","MO",,,,,1,,"1000-1500","rural"
"Merrill High","WI",,,,,1,,"500-999","town"
"Northwest Cabarrus High","NC",1,,,1,1,,"1000-1500","suburb"
"Elkhorn Area High","WI",,,,,1,,"500-999","town"
"Almont High School","MI",,,,1,1,,"500-999","rural"
"Bourne High School","MA",,,,,,,"200-499","suburb"
"Eastern York High School","PA",,,,,1,,"500-999","rural"
"Washington High School","OK",,,,,,,"200-499","rural"
"Norwood High","MA",,,1,,1,,"500-999","suburb"
"Washburn Rural High","KS",1,,,,1,,"1500+","rural"
"Talihina High School","OK",,,,,1,,"200-499","rural"
"Lamphere High School","MI",,,,,1,,"500-999","suburb"
"Lake Region Uhsd #24","VT",,,,,,,"200-499","rural"
"Newberg Senior High School","OR",1,1,,1,1,,"1500+","town"
"Edgewood High School","TX",,,,,,,"200-499","rural"
"Blair Oaks High","MO",,,,,,,"200-499","rural"
"Nicolet High","WI",1,1,1,,1,,"1000-1500","suburb"
"Milton Senior High School","VT",,,,,,,"200-499","town"
"Holland Patent Central High School","NY",,,,,,,"200-499","rural"
"Dickinson High School","TX",,,,,,,"1500+","suburb"
"Vinton-Shellsburg High School","IA",,,,,1,,"200-499","rural"
"Atlanta High School","TX",1,,,,1,,"500-999","town"
"Silver Valley High","CA",,,,,1,,"200-499","rural"
"Mashpee High","MA",1,,,1,1,,"200-499","suburb"
"Edison Academy","MA",,,,,1,,"200-499","suburb"
"Ramon C. Cortines School of Visual and Performing Arts","CA",,,,,1,,"1500+","city"
"Burkburnett High School","TX",,,,1,1,,"500-999","town"
"Henry J. Kaiser High","CA",,1,,,1,,"1500+","suburb"
"Mt. Vernon High","MO",,,1,,1,1,"200-499","town"
"Forsyth High","MO",,,,,,,"200-499","town"
"Clear Creek High School","CO",1,1,1,,1,,"200-499","rural"
"Assets","TX",,,,,1,,"200-499","suburb"
"Washtenaw International High School","MI",,1,1,,,,"200-499","suburb"
